ref,term_kor,term_eng,def_kor
http://m.kmle.co.kr//ebook_terminology_view.php?Num=1&Md=8775ce1c0dd8f08f50951700f81636e7&TitleLetter=%B0%A1%B0%E8%28%CA%AB%CD%A7%29%3A+pedigree,가계(家系),pedigree,    같은 핏줄의 계통. 가계의 도표로서 멘델법칙에 의한 유전과 관련된 질병 연  구에 사용된다. 가계라는 개념은 구성원의 출생이나 사망과는 독립적으로 과거에서 미래로 이어지는 집안이라는 것을 상정할 때 생겨난다. 그것은 단순한 피의 계승에 의한 관계라기보다는 오히려 제도로서 가족의 유지와 연속에 내재하는 관계의 연계를 의미한다.
http://m.kmle.co.kr//ebook_terminology_view.php?Num=2&Md=daa6300da2d33f7225595a66b7fcd710&TitleLetter=%B0%A1%B4%C2%B1%D9%C0%B0%C0%DC%BC%B6%C0%AF%3A+actin,가는근육잔섬유,actin,    근육을 구성하는 단백질. 근원섬유의 액틴 필라멘트(액틴)를 구성하는 수축성 단백질이다. 단량체는 액틴이라 불리는 단일 펩티드사슬이며 분자량 이다. 분자 안에 칼슘과 를 몰씩 함유하고 있으며 방울모양의 분자로 되어있다. 이것이 여러 개 중합하여 이중나선의 섬유구조를 취함으로써 액틴을 형성한다.
http://m.kmle.co.kr//ebook_terminology_view.php?Num=3&Md=e6cdbdf8135f776cbc6f962f20056c7f&TitleLetter=%B0%A1%B7%A1%3A+sputum,가래,sputum,    기침이나 숨길을 깨끗하게 하기 위한 운동으로 입을 통해 나오는 분비물이다. 이것은 윗숨길로부터 허파에 이르는 호흡기 계통의 여러조직에서 나온 분비물로서 원래는 숨길점막의 보호하는 기능을 하는 것이지만 외부환경 또는 질병으로 말미암아 분비량이 많아지거나 천식에서와 같이 농도가 짙어지면 가래 때문에 고통을 받는 경우도 있다. 가래는 겉으로 보아 물같은 것 점액성인 것 고름 모양인 것 피가 섞인 것 등이 있다.
http://m.kmle.co.kr//ebook_terminology_view.php?Num=4&Md=a975713efd9be4046e98ddb39623d0fd&TitleLetter=%B0%A1%B7%C1%BF%F2%3A+itch%2C+pruritus,가려움,"itch, pruritus",    긁고 싶어지는 일종의 불쾌한 감각. 가려움을 느끼는 특수한 수용기관이 있는 것은 아니고 피부의 통각을 느끼는 말단 신경의 가벼운 흥분에 의한 것. 곧 피부의 표층 표피에 분포하는 통각을 느끼는 신경말단에 비교적 가벼운 기계적 또는 화학적 자극을 가할 때 일어난다. 근지러움이 일과성인데 대하여 가려움은 지속성이다. 가려움은 아주 다양한 원인으로 나타나며 단순히 심리적인 불안으로도 가려움증이 나타날 수 있다. 그러나 대개 생리학적으로 히스타민의 과다작용으로 나타나는 것으로 보이며 치료는 원인치료와 함께 항히스타민제의 복용이다. 옛 용어 소양감
http://m.kmle.co.kr//ebook_terminology_view.php?Num=5&Md=37dc0786e4bfb5eaedc49b91ba67df41&TitleLetter=%B0%A1%B7%C1%BF%F2%BE%E0%3A+antipruritics,가려움약,antipruritics,    가려움을 막아주는 혹은 억제시키는 약물.
http://m.kmle.co.kr//ebook_terminology_view.php?Num=6&Md=f10208bd289ca67803487f211e404864&TitleLetter=%B0%A1%B7%CE%B8%B7%2C+%C8%BE%B0%DD%B8%B7%3A+diaphragm,"가로막, 횡격막",diaphragm,    흉강과 복강을 구획하는 근육성의 막. 포유류에만 있다. 인체의 가로막은 원형의 근판으로 흉곽하부를 형성하는 엉치뼈갈비뼈복장뼈로부터 근육질로 시작되며 중앙부는 힘줄막으로 되어 있어 힘줄중심이라 불리며 여기에 근육섬유가 집합하여 부착한다. 숨을 들어 마실 때 가로막을 아래로 내려서 흉강내 압력을 낮추고 정맥피가 심장으로 돌아오는 것을 도와준다.
http://m.kmle.co.kr//ebook_terminology_view.php?Num=7&Md=88963192aabd58ac610b983205155229&TitleLetter=%B0%A1%B7%CE%B9%AB%B4%CC%B1%D9%3A+striated+muscle,가로무늬근,striated muscle,    표면에 가로줄무늬가 보이는 근육. 뜻대로 움직일 수 있으므로 수의근이라고도 불린다. 인체의 가로무늬근의 대부분은 골격근이며 얼굴의 피부를 움직이는 표정근 혀나 후두를 움직이는 근육도 가로무늬근이다. 예를 들어 팔을 구부릴 때는 많은 근육의 복잡한 협조가 필요하여 전체적인 움직임을 통제하는 기구가 있다. 또 자세의 균형을 잡을 때 등 많은 운동을 무의식적반사적으로 조절하는 기구도 있다. 심장근은 가로무늬근이지만 불수의근의 성질을 가졌다.
http://m.kmle.co.kr//ebook_terminology_view.php?Num=8&Md=31a7aee87572ef58e16aef04ddced373&TitleLetter=%B0%A1%BA%D0%B8%B8%C5%EB%3A+,가분만통,,   가진통 
http://m.kmle.co.kr//ebook_terminology_view.php?Num=9&Md=7a79e1f751d9af8fb0acc1bf72237a24&TitleLetter=%B0%A1%BD%BA%3A+gas,가스,gas,    기체물질을 통틀어 이르는 말. 본래 물질의 형태 중 하나인 기체를 지칭하나 일반적으로는 화산이나 온천에서 분출하는 가스 산이나 해상에서 발생하는 안개 신체의 소화기 내에서 발효하는 가스 등도 가스라고 말한다.    가스괴저      흙이나 장관내에 정상적으로 서식하는 이라는 균의 감염에 의해서 생기는 괴저를 말한다. 중에서도 특히 . 에 의한 감염이 가장 중요하다. 이 균에 의한 감염은 우선 근육을 침범하여 근염의 형태로 나타나며 주로 조직의 결손에 의해서 그곳으로 흙이나 다른 이물질과 함께 이 균이 체내에 들어가 병터가 시작된다. 잠복기간은 일 정도로 초기증상은 동통 가슴 두근거림 저혈압 등이 발생한다. 이 균은 심하게 조직을 파괴하고 또한 대사과정 중에서 정상적으로 가스를 발생하므로 감염된 병변의 파괴와 더불어서 가스가 차므로 마치 공기주머니 같은 병터을 만든다. 초기 병터는 백색으로 반짝이며 팽팽한 감을 주고 시간이 지나면 변색이 되면서 물집이 발생하며 말기에는 상처의 변두리부위의 조직이 죽어가기 시작한다. 병터에는 가스가 차므로 상처의 주변을 누르면 뿌드득하는 듯한 소리를 들을 수가 있는데 이것이 중요한 진단의 단서가 될 수가 있지만 없는 경우도 있다. 치료는 신속히 외과적으로 병터를 절개하고 시행하며 항생제를 정맥으로 다량 주입한다.
http://m.kmle.co.kr//ebook_terminology_view.php?Num=10&Md=a465a2556fbe8eb12db669397a3e932f&TitleLetter=%B0%A1%BD%BF%3A+thorax,가슴,thorax,    갈비뼈에 의해서 싸여진 목과 가로막 사이의 신체부분. 가슴속을 바구니처럼 싸고 있다. 뒤 정중선에 개의 등뼈가 늘어서고 이것과 관절을 이루어 바깥쪽으로 굽어 전하방을 향하는 쌍의 갈비뼈와 그 갈비뼈 위쪽의 쌍과 갈비연골로 연결되는 앞벽 중앙의 복장뼈로 이루어진다. 제갈비연골은 바로 위쪽의 갈비연골과 연결되어 복장뼈와 결합하는데 제과 제갈비뼈는 짧아서 유리되어 있다. 성인의 가슴은 아래쪽이 다소좁고 전체는 좌우로 넓고 전후로 좁은 형태를 하고 있으며 좌우지름을 이라고 하면 전후지름은 ..이다.
